posting_id,date_posted,job_title,normalized_role,role_family,company,industry,city,state,country,work_mode,experience_level,employment_type,salary_min,salary_max,salary_period,salary_currency,required_skills,preferred_skills,education_requirement,years_experience_required,remote_eligible,description_excerpt,recruiter_name,recruiter_email,recruiter_phone,source_type,source_record_id,synthetic_record
CP-00001,2026-03-26,Associate Software Developer,Junior Developer,Software Engineering,Orchard Education Labs,E-commerce,Portland,OR,United States,Remote,Associate,Full-time,46000.0,58000.0,year,USD,Azure | HTML/CSS | Project Management | Python,AWS | Linux | Project Management,Bachelor's degree,2,True,Synthetic associate opportunity in e-commerce focused on Azure and collaborative problem solving.,Parker Garcia,parker.garcia0@example.net,(555) 555-0100,synthetic_job_board,SYN-20260326-00001,True
CP-00002,2026-07-01,Application Developer,Software Engineer,Software Engineering,Blue Ridge Analytics,Cloud Services,Raleigh,NC,United States,Hybrid,Internship,Internship,36000.0,45000.0,year,USD,Git | Java | Linux | Python | React,Azure | C++ | Communication | Docker | Project Management,Bachelor's degree,0,True,Synthetic internship opportunity in cloud services focused on Git and collaborative problem solving.,Quinn Smith,quinn.smith1@example.org,(919) 555-0101,synthetic_job_board,SYN-20260701-00002,True
CP-00003,2026-02-18,Infrastructure Engineer,Network Engineer,Information Technology,Rainier Cloud Group,Government Technology,Seattle,WA,United States,Remote,Associate,Full-time,,,year,USD,AWS | Azure | Git | Linux,Git | Project Management | SIEM,Bachelor's degree,2,True,Synthetic associate opportunity in government technology focused on AWS and collaborative problem solving.,Jordan Clark,jordan.clark2@example.net,(206) 555-0102,synthetic_job_board,SYN-20260218-00003,True
CP-00004,2026-04-22,Security Operations Analyst,Cybersecurity Analyst,Cybersecurity,Cascade Secure Systems,Government Technology,Portland,OR,United States,On-site,Entry Level,Part-time,60000.0,80000.0,year,USD,Cybersecurity | Incident Response | Linux | Networking | Python,AWS | Azure | Git | Project Management | SQL,Bachelor's degree,2,False,Synthetic entry level opportunity in government technology focused on Cybersecurity and collaborative problem solving.,Quinn Wilson,quinn.wilson3@example.net,(555) 555-0103,synthetic_job_board,SYN-20260422-00004,True
CP-00005,2026-07-24,Digital Product Analyst,Product Analyst,Data & Analytics,Redwood Product Studio,E-commerce,Pittsburgh,PA,United States,Remote,Internship,Internship,32000.0,44000.0,year,USD,AWS | Communication | Data Visualization | Excel | Project Management | SQL,JavaScript | Project Management | Statistics | Tableau,Bachelor's degree preferred,0,True,Synthetic internship opportunity in e-commerce focused on AWS and collaborative problem solving.,Parker Patel,parker.patel4@example.com,(555) 555-0104,synthetic_job_board,SYN-20260724-00005,True
CP-00006,2026-05-01,Business Data Analyst,Data Analyst,Data & Analytics,Redwood Product Studio,Financial Services,Chicago,IL,United States,Hybrid,Associate,Full-time,-5000.0,82000.0,year,USD,Communication | Data Visualization | Excel | Power BI | Python | SQL | Tableau,AWS | Git | Project Management | Statistics,Bachelor's degree,1,True,Synthetic associate opportunity in financial services focused on Communication and collaborative problem solving.,Reese Kim,reese.kim5@example.net,(555) 555-0105,synthetic_job_board,SYN-20260501-00006,True
CP-00007,2026-07-20,Junior Network Engineer,Network Engineer,Information Technology,Summit Network Partners,Government Technology,Baltimore,MD,United States,Remote,Entry Level,Full-time,56000.0,69000.0,year,USD,Azure | Cisco | Communication | Linux,Azure | Git | Project Management,Bachelor's degree preferred,1,True,Synthetic entry level opportunity in government technology focused on Azure and collaborative problem solving.,Jordan Brown,jordan.brown6@example.com,(410) 555-0106,synthetic_job_board,SYN-20260720-00007,True
CP-00008,2026-07-26,Network Engineer,Network Engineer,Information Technology,Orchard Education Labs,Telecommunications,Seattle,WA,United States,Hybrid,Senior,Full-time,90000.0,115000.0,year,USD,Communication | Cybersecurity | Linux | Networking | Python,Git | Project Management | SIEM,Bachelor's degree,6,True,Synthetic senior opportunity in telecommunications focused on Communication and collaborative problem solving.,Morgan Kim,morgan.kim7@example.org,(206) 555-0107,synthetic_job_board,SYN-20260726-00008,True
CP-00009,2026-06-24,Industrial Automation Engineer,Automation Engineer,Electrical & Hardware Engineering,Front Range Controls,Logistics,Boston,MA,United States,Hybrid,Mid Level,Full-time,95000.0,126000.0,year,USD,AutoCAD | Communication | Control Systems | PLC | Python,Arduino | Git | Project Management | Robotics | SQL,Bachelor's degree,4,True,Synthetic mid level opportunity in logistics focused on AutoCAD and collaborative problem solving.,Taylor Davis,taylor.davis8@example.com,(555) 555-0108,synthetic_job_board,SYN-20260624-00009,True
CP-00010,2026-06-06,Software Engineer,Software Engineer,Software Engineering,Northstar Robotics,Software,San Diego,CA,United States,Remote,Entry Level,Full-time,76000.0,94000.0,year,USD,AWS | Azure | Communication | Git | Java | Linux | SQL,Azure | C++ | Communication | Docker | Project Management,No degree specified,1,True,Synthetic entry level opportunity in software focused on AWS and collaborative problem solving.,Reese Smith,reese.smith9@example.net,(555) 555-0109,synthetic_job_board,SYN-20260606-00010,True
